Transcript_ID,Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
ENSMUST00000020446.11,Tmbim4,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020484.9,Txnrd1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020493.9,Pofut2,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000020500.14,Appl2,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000020522.9,Pfkl,0,0,1,1,0,0,0,0,0,1,0,0
ENSMUST00000020524.15,Rhbdf1,0,0,1,0,0,0,0,0,1,0,0,0
ENSMUST00000020546.3,Stc2,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020575.5,Fstl3,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000020608.3,Ppp2ca,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000020630.8,Hspa4,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020640.8,Rack1,2,0,0,0,0,0,0,0,1,1,0,0
ENSMUST00000020643.4,Rufy1,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000020649.14,Rad50,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000020657.13,Ube2b,0,0,0,1,0,0,1,0,0,0,0,0
ENSMUST00000020662.15,Kremen1,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000020692.7,Btg2,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020718.10,Smtn,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020721.15,Smtn,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000020741.12,Drg1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000020827.7,Rnft1,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000020856.6,Bzw2,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020886.9,Nampt,0,1,0,1,0,0,0,0,0,0,0,0
ENSMUST00000020904.8,Rock2,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000021049.9,Psmc5,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000021062.12,Ddx5,1,2,0,0,0,0,2,0,0,4,0,1
ENSMUST00000021063.13,Psmd12,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000021085.11,Nup85,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000021158.4,Txndc17,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000021201.6,Cpd,0,0,0,0,1,0,0,0,0,0,0,0
