Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
Chka,0,0,1,1,0,0,0,0,0,0,0,0
Chmp2b,0,0,0,1,0,0,0,1,0,0,0,0
Chordc1,0,1,0,0,0,0,0,0,0,0,0,0
Chp1,0,0,0,0,0,0,0,1,0,0,0,0
Chpf2,0,0,0,0,0,0,0,0,0,0,1,0
Chpt1,0,0,0,0,0,1,0,2,0,0,0,0
Chrdl2,0,0,0,0,1,1,0,0,0,0,0,0
Chsy1,0,0,0,0,0,0,0,0,0,0,0,1
Chtop,0,1,0,0,0,0,0,0,0,0,0,0
Ciao1,1,0,0,0,0,0,0,0,0,0,0,0
Cidea,0,0,1,0,0,0,0,0,0,0,0,0
Cited2,1,0,0,0,0,0,0,0,0,0,0,0
Ckb,0,0,0,0,0,0,0,0,0,1,0,0
Clasp1,0,0,0,0,0,0,0,0,0,0,1,0
Clca3a1,0,0,0,0,0,0,0,0,0,0,1,0
Clca3a2,1,0,0,0,0,0,0,0,0,0,0,0
Clcc1,0,0,0,0,0,0,0,0,0,1,0,0
Clcn7,0,0,0,0,0,0,0,0,0,0,0,1
Cldn3,1,1,0,0,0,0,0,0,0,0,0,0
Cldn4,1,1,0,2,0,0,0,0,0,0,0,0
Cldn7,1,1,0,0,0,0,0,0,0,0,0,0
Clic1,0,0,0,0,0,0,1,0,0,0,0,0
Clint1,0,1,0,0,0,0,0,0,0,0,0,0
Clip1,0,0,0,0,0,0,0,0,0,0,0,1
Clk4,0,0,0,1,0,0,0,0,0,1,0,0
Clmp,0,0,0,0,0,0,0,0,0,0,0,1
Clstn1,1,0,0,0,0,0,2,0,0,1,1,0
Clta,0,0,0,1,0,0,0,0,0,0,0,0
Cltc,1,1,0,1,1,0,0,0,0,0,0,0
Clu,1,1,0,1,1,1,0,1,0,1,0,0
Cluh,0,0,1,0,0,0,0,1,0,0,0,0
Cmc1,0,0,0,0,0,0,0,0,1,0,0,0
Cmip,0,0,1,0,0,0,0,0,0,0,0,0
Cmtm4,0,0,1,0,0,0,0,0,0,0,0,0
Cnksr3,0,0,0,0,0,0,0,1,0,0,0,0
